C:\Users\AL-AWAL\Desktop\IMG\center_2022_11_16_00_08_18_472.jpg, C:\Users\AL-AWAL\Desktop\IMG\left_2022_11_16_00_08_18_472.jpg, C:\Users\AL-AWAL\Desktop\IMG\right_2022_11_16_00_08_18_472.jpg, 0, 0, 0, 7.821608E-05
C:\Users\AL-AWAL\Desktop\IMG\center_2022_11_16_00_08_18_692.jpg, C:\Users\AL-AWAL\Desktop\IMG\left_2022_11_16_00_08_18_692.jpg, C:\Users\AL-AWAL\Desktop\IMG\right_2022_11_16_00_08_18_692.jpg, 0, 0, 0, 8.126506E-05
C:\Users\AL-AWAL\Desktop\IMG\center_2022_11_16_00_08_18_807.jpg, C:\Users\AL-AWAL\Desktop\IMG\left_2022_11_16_00_08_18_807.jpg, C:\Users\AL-AWAL\Desktop\IMG\right_2022_11_16_00_08_18_807.jpg, 0, 0, 0, 7.808574E-05
C:\Users\AL-AWAL\Desktop\IMG\center_2022_11_16_00_08_18_929.jpg, C:\Users\AL-AWAL\Desktop\IMG\left_2022_11_16_00_08_18_929.jpg, C:\Users\AL-AWAL\Desktop\IMG\right_2022_11_16_00_08_18_929.jpg, 0, 0, 0, 7.794057E-05
C:\Users\AL-AWAL\Desktop\IMG\center_2022_11_16_00_08_19_049.jpg, C:\Users\AL-AWAL\Desktop\IMG\left_2022_11_16_00_08_19_049.jpg, C:\Users\AL-AWAL\Desktop\IMG\right_2022_11_16_00_08_19_049.jpg, 0, 0, 0, 7.889844E-05
C:\Users\AL-AWAL\Desktop\IMG\center_2022_11_16_00_08_19_169.jpg, C:\Users\AL-AWAL\Desktop\IMG\left_2022_11_16_00_08_19_169.jpg, C:\Users\AL-AWAL\Desktop\IMG\right_2022_11_16_00_08_19_169.jpg, 0, 0, 0, 8.191536E-05
C:\Users\AL-AWAL\Desktop\IMG\center_2022_11_16_00_08_19_291.jpg, C:\Users\AL-AWAL\Desktop\IMG\left_2022_11_16_00_08_19_291.jpg, C:\Users\AL-AWAL\Desktop\IMG\right_2022_11_16_00_08_19_291.jpg, 0, 0.3589482, 0, 0.4929073
C:\Users\AL-AWAL\Desktop\IMG\center_2022_11_16_00_08_19_424.jpg, C:\Users\AL-AWAL\Desktop\IMG\left_2022_11_16_00_08_19_424.jpg, C:\Users\AL-AWAL\Desktop\IMG\right_2022_11_16_00_08_19_424.jpg, 0, 0, 0, 0.5060084
C:\Users\AL-AWAL\Desktop\IMG\center_2022_11_16_00_08_19_526.jpg, C:\Users\AL-AWAL\Desktop\IMG\left_2022_11_16_00_08_19_526.jpg, C:\Users\AL-AWAL\Desktop\IMG\right_2022_11_16_00_08_19_526.jpg, 0, 0, 0, 0.5005596
C:\Users\AL-AWAL\Desktop\IMG\center_2022_11_16_00_08_19_647.jpg, C:\Users\AL-AWAL\Desktop\IMG\left_2022_11_16_00_08_19_647.jpg, C:\Users\AL-AWAL\Desktop\IMG\right_2022_11_16_00_08_19_647.jpg, -0.3643584, 0, 0, 0.4904444
